commune_label,commune_norm,commune_label_title
BELLEGARDE-EN-FOREZ,bellegarde en forez,Bellegarde-en-forez
BELLENAVES,bellenaves,Bellenaves
BELLEROCHE,belleroche,Belleroche
BELLEVIGNE-LES-CHATEAUX,bellevigne les chateaux,Bellevigne-les-chateaux
BELLEVIGNY,bellevigny,Bellevigny
BELLEVILLE,belleville,Belleville
BELLEVILLE-EN-BEAUJOLAIS,belleville en beaujolais,Belleville-en-beaujolais
BELLEY,belley,Belley
BELLIGNAT,bellignat,Bellignat
BELLOU-EN-HOULME,bellou en houlme,Bellou-en-houlme
BELLOY-EN-FRANCE,belloy en france,Belloy-en-france
BELVAL,belval,Belval
BENESSE-MAREMNE,benesse maremne,Benesse-maremne
BENESTROFF,benestroff,Benestroff
BENET,benet,Benet
BENFELD,benfeld,Benfeld
BENGY-SUR-CRAON,bengy sur craon,Bengy-sur-craon
BENING-LES-SAINT-AVOLD,bening les saint avold,Bening-les-saint-avold
BENNWIHR,bennwihr,Bennwihr
BENY,beny,Beny
BERCHERES-LES-PIERRES,bercheres les pierres,Bercheres-les-pierres
BERGERAC,bergerac,Bergerac
BERGUES,bergues,Bergues
BERJOU,berjou,Berjou
BERLAIMONT,berlaimont,Berlaimont
BERNAC-DEBAT,bernac debat,Bernac-debat
BERNAY,bernay,Bernay
BERNES-SUR-OISE,bernes sur oise,Bernes-sur-oise
BERRE-L'ETANG,berre l'etang,Berre-l'etang
BERSAC-SUR-RIVALIER,bersac sur rivalier,Bersac-sur-rivalier
BERTANGLES,bertangles,Bertangles
BERTHECOURT,berthecourt,Berthecourt
BERTHELMING,berthelming,Berthelming
BERTHOLENE,bertholene,Bertholene
BERTIGNAT,bertignat,Bertignat
BERTRICHAMPS,bertrichamps,Bertrichamps
BERTRY,bertry,Bertry
BERZY-LE-SEC,berzy le sec,Berzy-le-sec
BESANCON,besancon,Besancon
BESNE,besne,Besne
BESNY-ET-LOIZY,besny et loizy,Besny-et-loizy
BESSAN,bessan,Bessan
BESSANCOURT,bessancourt,Bessancourt
BESSAY-SUR-ALLIER,bessay sur allier,Bessay-sur-allier
BESSE-SUR-BRAYE,besse sur braye,Besse-sur-braye
BESSE-SUR-ISSOLE,besse sur issole,Besse-sur-issole
BESSEGES,besseges,Besseges
BESSENAY,bessenay,Bessenay
BESSIERES,bessieres,Bessieres
BESSINES,bessines,Bessines
BESSINES-SUR-GARTEMPE,bessines sur gartempe,Bessines-sur-gartempe
BETAILLE,betaille,Betaille
BETHENIVILLE,betheniville,Betheniville
BETHISY-SAINT-PIERRE,bethisy saint pierre,Bethisy-saint-pierre
BETHUNE,bethune,Bethune
BETTON,betton,Betton
BETZ,betz,Betz
BEUTIN,beutin,Beutin
BEUVRAGES,beuvrages,Beuvrages
BEUVRY,beuvry,Beuvry
BEUXES,beuxes,Beuxes
BEUZEVILLE,beuzeville,Beuzeville
BEYNES,beynes,Beynes
BEYNOST,beynost,Beynost
BEZANNES,bezannes,Bezannes
BEZE,beze,Beze
BEZIERS,beziers,Beziers
BEZU-SAINT-ELOI,bezu saint eloi,Bezu-saint-eloi
BIACHE-SAINT-VAAST,biache saint vaast,Biache-saint-vaast
BIARRITZ,biarritz,Biarritz
BIARS-SUR-CERE,biars sur cere,Biars-sur-cere
BIDARRAY,bidarray,Bidarray
BIDART,bidart,Bidart
BIDOS,bidos,Bidos
BIEVRES,bievres,Bievres
BIFFONTAINE,biffontaine,Biffontaine
BIGANOS,biganos,Biganos
BIGUGLIA,biguglia,Biguglia
BILLY,billy,Billy
BILLY-MONTIGNY,billy montigny,Billy-montigny
BISCHOFFSHEIM,bischoffsheim,Bischoffsheim
BISCHWILLER,bischwiller,Bischwiller
BITCHE,bitche,Bitche
BITSCHWILLER-LES-THANN,bitschwiller les thann,Bitschwiller-les-thann
BIZE-MINERVOIS,bize minervois,Bize-minervois
BLAGNY,blagny,Blagny
BLAIN,blain,Blain
BLAISE-SOUS-ARZILLIERES,blaise sous arzillieres,Blaise-sous-arzillieres
BLAISY-BAS,blaisy bas,Blaisy-bas
BLANCS-COTEAUX,blancs coteaux,Blancs-coteaux
BLANGY-SUR-BRESLE,blangy sur bresle,Blangy-sur-bresle
BLANGY-SUR-TERNOISE,blangy sur ternoise,Blangy-sur-ternoise
BLANGY-TRONVILLE,blangy tronville,Blangy-tronville
BLANQUEFORT,blanquefort,Blanquefort
BLANZAY,blanzay,Blanzay
BLANZY,blanzy,Blanzy
BLENDECQUES,blendecques,Blendecques
BLENOD-LES-TOUL,blenod les toul,Blenod-les-toul
BLESLE,blesle,Blesle
BLETTERANS,bletterans,Bletterans
BLIES-EBERSING,blies ebersing,Blies-ebersing
BLIESBRUCK,bliesbruck,Bliesbruck
BLODELSHEIM,blodelsheim,Blodelsheim
BLOIS,blois,Blois
BLOND,blond,Blond
BLONVILLE-SUR-MER,blonville sur mer,Blonville-sur-mer
BLOTZHEIM,blotzheim,Blotzheim
BLOU,blou,Blou
BLOYE,bloye,Bloye
BOBIGNY,bobigny,Bobigny
BOCOGNANO,bocognano,Bocognano
BOE,boe,Boe
BOEIL-BEZING,boeil bezing,Boeil-bezing
BOEN-SUR-LIGNON,boen sur lignon,Boen-sur-lignon
BOESSE-LE-SEC,boesse le sec,Boesse-le-sec
BOGNY-SUR-MEUSE,bogny sur meuse,Bogny-sur-meuse
BOHAIN-EN-VERMANDOIS,bohain en vermandois,Bohain-en-vermandois
BOIGNEVILLE,boigneville,Boigneville
BOIS-COLOMBES,bois colombes,Bois-colombes
BOIS-DE-CENE,bois de cene,Bois-de-cene
BOIS-LE-ROI,bois le roi,Bois-le-roi
BOISCOMMUN,boiscommun,Boiscommun
BOISLEUX-AU-MONT,boisleux au mont,Boisleux-au-mont
BOISMONT,boismont,Boismont
BOISNE-LA TUDE,boisne la tude,Boisne-la Tude
BOISSE-PENCHOT,boisse penchot,Boisse-penchot
BOISSEAUX,boisseaux,Boisseaux
BOISSET,boisset,Boisset
BOISSET-LES-MONTROND,boisset les montrond,Boisset-les-montrond
BOISSET-LES-PREVANCHES,boisset les prevanches,Boisset-les-prevanches
BOISSISE-LE-ROI,boissise le roi,Boissise-le-roi
BOISSY-L'AILLERIE,boissy l'aillerie,Boissy-l'aillerie
BOISSY-SAINT-LEGER,boissy saint leger,Boissy-saint-leger
BOISVILLE-LA-SAINT-PERE,boisville la saint pere,Boisville-la-saint-pere
BOLBEC,bolbec,Bolbec
BOLLENE,bollene,Bollene
BOLLWILLER,bollwiller,Bollwiller
BOLOGNE,bologne,Bologne
BOLOZON,bolozon,Bolozon
BOLQUERE,bolquere,Bolquere
BONDY,bondy,Bondy
BONNARD,bonnard,Bonnard
BONNEMAIN,bonnemain,Bonnemain
BONNEVAL,bonneval,Bonneval
BONNEVILLE,bonneville,Bonneville
BONNIERES-SUR-SEINE,bonnieres sur seine,Bonnieres-sur-seine
BONNY-SUR-LOIRE,bonny sur loire,Bonny-sur-loire
BONS-EN-CHABLAIS,bons en chablais,Bons-en-chablais
BONSON,bonson,Bonson
BOO-SILHEN,boo silhen,Boo-silhen
BORAN-SUR-OISE,boran sur oise,Boran-sur-oise
BORCE,borce,Borce
BORDEAUX,bordeaux,Bordeaux
BORDES,bordes,Bordes
BORDS,bords,Bords
BORGO,borgo,Borgo
BORNE,borne,Borne
BORNEL,bornel,Bornel
BORT-LES-ORGUES,bort les orgues,Bort-les-orgues
BOSC-LE-HARD,bosc le hard,Bosc-le-hard
BOSMIE-L'AIGUILLE,bosmie l'aiguille,Bosmie-l'aiguille
BOSMOREAU-LES-MINES,bosmoreau les mines,Bosmoreau-les-mines
BOSSAY-SUR-CLAISE,bossay sur claise,Bossay-sur-claise
BOUAYE,bouaye,Bouaye
